Sampling,Model,Accuracy
Sampling1,M1,0.9032258064516129
Sampling1,M2,0.967741935483871
Sampling1,M3,0.9032258064516129
Sampling1,M4,0.9032258064516129
Sampling1,M5,0.7096774193548387
Sampling2,M1,0.9508196721311475
Sampling2,M2,1.0
Sampling2,M3,0.9672131147540983
Sampling2,M4,0.8032786885245902
Sampling2,M5,0.639344262295082
Sampling3,M1,0.9205607476635514
Sampling3,M2,1.0
Sampling3,M3,0.9766355140186916
Sampling3,M4,0.7897196261682243
Sampling3,M5,0.7009345794392523
Sampling4,M1,0.9098360655737705
Sampling4,M2,0.9836065573770492
Sampling4,M3,0.9754098360655737
Sampling4,M4,0.7704918032786885
Sampling4,M5,0.5983606557377049
Sampling5,M1,0.9215686274509803
Sampling5,M2,0.9934640522875817
Sampling5,M3,0.9477124183006536
Sampling5,M4,0.7973856209150327
Sampling5,M5,0.6666666666666666
