Sample,Model,Accuracy
Sample_1,Logistic_Regression,0.9032258064516129
Sample_1,Random_Forest,0.967741935483871
Sample_1,Decision_Tree,0.9032258064516129
Sample_1,Gaussian_NB,0.9032258064516129
Sample_1,Support_Vector_Machine,0.7096774193548387
Sample_2,Logistic_Regression,0.9508196721311475
Sample_2,Random_Forest,1.0
Sample_2,Decision_Tree,0.9672131147540983
Sample_2,Gaussian_NB,0.8032786885245902
Sample_2,Support_Vector_Machine,0.639344262295082
Sample_3,Logistic_Regression,0.9205607476635514
Sample_3,Random_Forest,1.0
Sample_3,Decision_Tree,0.9766355140186916
Sample_3,Gaussian_NB,0.7897196261682243
Sample_3,Support_Vector_Machine,0.7009345794392523
Sample_4,Logistic_Regression,0.9098360655737705
Sample_4,Random_Forest,0.9836065573770492
Sample_4,Decision_Tree,0.9672131147540983
Sample_4,Gaussian_NB,0.7704918032786885
Sample_4,Support_Vector_Machine,0.5983606557377049
Sample_5,Logistic_Regression,0.9215686274509803
Sample_5,Random_Forest,0.9934640522875817
Sample_5,Decision_Tree,0.954248366013072
Sample_5,Gaussian_NB,0.7973856209150327
Sample_5,Support_Vector_Machine,0.6666666666666666
